PLAYER_NAME,ID,GAMES,SEASONS,group
T.J. McConnell,204456,314,4,3
Jahlil Okafor,1626143,190,4,5
Emmanuel Mudiay,1626144,245,4,6
Tyus Jones,1626145,246,4,3
Justin Anderson,1626147,216,4,2
Anthony Brown,1626148,41,3,1
Montrezl Harrell,1626149,255,4,5
Andrew Harrison,1626150,145,3,3
Delon Wright,1626153,198,4,6
Sam Dekker,1626155,200,4,2
D'Angelo Russell,1626156,272,4,6
Karl-Anthony Towns,1626157,322,4,5
Richaun Holmes,1626158,226,4,5
Justise Winslow,1626159,230,4,2
Willie Cauley-Stein,1626161,295,4,5
Kelly Oubre Jr.,1626162,292,4,2
Frank Kaminsky,1626163,282,4,4
Devin Booker,1626164,272,4,6
Cameron Payne,1626166,153,4,3
Myles Turner,1626167,280,4,0
Trey Lyles,1626168,287,4,2
Stanley Johnson,1626169,284,4,1
Jerian Grant,1626170,273,4,3
Bobby Portis,1626171,249,4,5
Kevon Looney,1626172,204,4,0
Rashad Vaughn,1626173,139,3,1
Rondae Hollis-Jefferson,1626178,234,4,2
Terry Rozier,1626179,271,4,4
Norman Powell,1626181,254,4,4
Chasson Randle,1626184,75,2,4
Jarell Martin,1626185,184,4,2
Quinn Cook,1626188,121,3,4
Pat Connaughton,1626192,216,4,1
Willy Hernangomez,1626195,178,3,5
Josh Richardson,1626196,259,4,4
Treveon Graham,1626203,125,3,1
Larry Nance Jr.,1626204,258,4,2
Mario Hezonja,1626209,277,4,4
Alan Williams,1626210,67,4,5
Bryce Dejean-Jones,1626214,14,1,1
Royce O'Neale,1626220,151,2,1
Cedi Osman,1626224,137,2,4
Cristiano Felicio,1626245,212,4,0
Axel Toupane,1626253,25,2,1
Maurice Ndour,1626254,32,1,2
Salah Mejri,1626257,204,4,0
Marcelo Huertas,1626273,76,2,3
Jonathan Gibson,1626780,21,2,4
Malcolm Delaney,1627098,127,2,3
Walt Lemon Jr.,1627215,11,2,6
Briante Weber,1627362,45,3,3
Julian Washburn,1627395,18,1,1
Ben Simmons,1627732,160,2,6
Dragan Bender,1627733,171,3,1
Domantas Sabonis,1627734,228,3,5
Wade Baldwin IV,1627735,56,3,3
Malik Beasley,1627736,164,3,4
Marquese Chriss,1627737,197,3,2
Deyonta Davis,1627738,107,3,0
Kris Dunn,1627739,176,3,3
Buddy Hield,1627741,244,3,4
Brandon Ingram,1627742,190,3,2
Damian Jones,1627745,49,3,0
Skal Labissiere,1627746,115,3,5
Caris LeVert,1627747,168,3,6
Thon Maker,1627748,195,3,1
Dejounte Murray,1627749,119,2,2
Jamal Murray,1627750,237,3,4
Jakob Poeltl,1627751,212,3,0
Taurean Prince,1627752,196,3,4
Tyler Ulis,1627755,133,3,3
Denzel Valentine,1627756,134,2,4
Ron Baker,1627758,96,3,3
Jaylen Brown,1627759,221,3,2
DeAndre' Bembry,1627761,146,3,2
Malcolm Brogdon,1627763,187,3,2
Cheick Diallo,1627767,133,3,5
Jake Layman,1627774,141,3,2
Patrick McCaw,1627775,157,3,3
Gary Payton II,1627780,32,3,3
Wayne Selden,1627782,124,3,4
Pascal Siakam,1627783,216,3,2
Isaiah Whitehead,1627785,89,2,2
Troy Williams,1627786,72,3,2
Furkan Korkmaz,1627788,62,2,4
Timothe Luwawu-Cabarrot,1627789,171,3,4
Ante Zizic,1627790,91,2,5
Yogi Ferrell,1627812,199,3,4
